# 夢の全記録（ロングラン#3・events.jsonl e=dream・run窓内）
# 形式: 時刻 | 村人 | 心に残った語×3 | 夢の内容（過去エピソードの再結合。空=語のみの夜）

01:08:28 | 山田セナ#c51 | 木炭 / 松明 / 効率 | 新しい畑ができている（南西 約32m）。柏木サヤ#9e5が作った物のようだ
01:08:51 | 桜井ライ#d71 | 木製の剣 / 北側の防衛 / 小柳クウ | 新しい牧場ができている（南西 約21m）。風間ヨル#e16が作った物のようだ
01:08:58 | 千葉ミオ#806 | 採石場 / 看板 / 真砂ホシ | 新しい採石場ができている（北東 約17m）
01:09:19 | 望月シオ#fa4 | 採石場 / 松明 / 牧場 | 新しい採石場ができている（南 約11m）
01:09:26 | 真砂ホシ#7d9 | 北東の採石場 / シラカバ / 拠点の建築 | 新しい採石場ができている（北東 約20m）
01:09:43 | 黒木リオ#98b | 東の採石場 / 自分用のかまど / raw_copper | 新しい採石場ができている（南東 約10m）
01:09:55 | 川原ハク#f21 | 自分専用の小屋 / 空間の最適化 / 南西の悲鳴 | 新しい家ができている（南東 約24m）。上原オト#4d4が作った物のようだ
01:10:11 | 瀬川ノア#d3f | 鶏 / 北西の牧場 / 石炭 | 新しい採石場ができている（南東 約11m）
01:10:23 | 尾崎ワカ#644 | 北原エル / たいまつ / 壁を壊す | 新しい家ができている（南東 約43m）。上原オト#4d4が作った物のようだ
01:10:43 | 南田ネム#747 | 鶏 / 石炭鉱石 / 悲鳴 | 新しい家ができている（南西 約13m）。上原オト#4d4が作った物のようだ
01:10:46 | 沼田ミネ#72d | 北西の採石場 / 違反者は即刻追放 / 悲鳴のような声 | 新しい採石場ができている（北西 約11m）
01:11:07 | 石川コウ#fe8 | 北東の採石場 / 石のツルハシ / 木炭 | 新しい採石場ができている（北東 約9m）
01:11:16 | 上原オト#4d4 | 石材 / 杉本モモ / 牧場 | 新しい採石場ができている（東 約16m）
01:11:46 | 森野アオ#cdb | 採石場 / 無断侵入 / 未踏地 | 新しい採石場ができている（南東 約13m）
01:11:46 | 北原エル#bc0 | 木炭 / たいまつ / 悲鳴 | 新しい採石場ができている（東 約36m）
01:12:15 | 青木エマ#147 | 管理区域 / 拠点管理責任者 / 北東の採石場 | 新しい牧場ができている（東 約24m）。深沢ナオ#302が作った物のようだ
01:12:19 | 風間ヨル#e16 | 物流管理 / 原木 / 川原ハク | 新しい牧場ができている（東 約41m）。深沢ナオ#302が作った物のようだ
01:12:49 | 柏木サヤ#9e5 | 南の森 / 用途別の分類 / 沼田ミネ | 新しい家ができている（南東 約2m）
01:13:00 | 深沢ナオ#302 | 北西の採石場 / charcoal / 悲鳴 | 新しい採石場ができている（北西 約8m）
01:13:18 | 立花キリ#c2f | 資材整理箱 / 鶏 / 悲鳴のような声 | 新しい畑ができている（北 約21m）。柏木サヤ#9e5が作った物のようだ
01:13:24 | 杉本モモ#1eb | 湧き潰し / 採石場 / 構造確認 | 新しい採石場ができている（北東 約20m）
01:13:47 | 水野ユウ#a37 | 東の採石場 / 浜田カナ / 管理区域 | 新しい採石場ができている（東 約9m）
01:26:08 | 岩瀬ヒナ#4ed | 岩瀬の作業場 / 城 / 風間ヨル | 新しい家ができている（南 約44m）。岸辺レン#85aが作った物のようだ
01:26:18 | 森野アオ#cdb | 採石場 / 白樺 / 悲鳴 | 新しい採石場ができている（北東 約18m）
01:26:48 | 西森マナ#e5d | 山田セナ / 採石場 / 屋根の傾斜 | 新しい家ができている（東 約27m）。山田セナ#c51が作った物のようだ
01:26:49 | 梅木ボブ#f4a | 山田セナ / 杉本モモ / 鉄 | 新しい家ができている（東 約30m）。山田セナ#c51が作った物のようだ
01:27:18 | 東雲ノブ#af2 | 風間ヨル / 植林計画 / 岩瀬ヒナ | 小柳クウ#c4bが秋山リン#0bdを攻撃するのを見た
01:27:41 | 深沢ナオ#302 | 資材整理 / 採石場 / oak_stairs | 新しい畑ができている（東 約45m）。水野ユウ#a37が作った物のようだ
01:27:43 | 浜田カナ#de9 | オトの牧場 / 悲鳴のような声 / 採石場 | 新しい牧場ができている（西 約42m）。上原オト#4d4が作った物のようだ
01:28:06 | 上原オト#4d4 | 効率 / 建築担当 / 杉本モモ | 新しい畑ができている（南東 約47m）。望月シオ#fa4が作った物のようだ
01:28:32 | 山田セナ#c51 | 杉本モモ / 村の鉄槌 / 牧場 | 新しい畑ができている（北西 約40m）。牧野マオ#a4bが作った物のようだ
01:28:40 | 青木エマ#147 | 居住空間管理区域 / 北東の採石場 / 杉本モモ | 新しい牧場ができている（南東 約25m）。望月シオ#fa4が作った物のようだ
01:29:11 | 桜井ライ#d71 | 未踏の地 / 西の採石場 / 石炭 | 新しい畑ができている（西 約27m）。牧野マオ#a4bが作った物のようだ
01:29:24 | 千葉ミオ#806 | 真砂ホシ / 採石場 / 杉本モモ | 新しい家ができている（南東 約44m）。真砂ホシ#7d9が作った物のようだ
01:29:35 | 真砂ホシ#7d9 | シラカバの原木 / 村の鉄槌 / 建築論 | 新しい採石場ができている（北 約13m）
01:29:43 | 黒木リオ#98b | 立ち入り禁止 / 牧場 / 地下探索 | 新しい牧場ができている（北東 約9m）。牧野マオ#a4bが作った物のようだ
01:29:59 | 水野ユウ#a37 | 北の採石場 / 鉄鉱石 / 小柳クウ#c4b | 新しい採石場ができている（北 約39m）
01:30:07 | 川原ハク#f21 | 石 / 看板 / 争う音 | 新しい採石場ができている（南東 約21m）
01:30:24 | 瀬川ノア#d3f | オトの牧場 / 争う音 / 石川コウ | 新しい牧場ができている（西 約44m）。上原オト#4d4が作った物のようだ
01:30:34 | 尾崎ワカ#644 | 一息の道しるべ / 照明 / 採石場 | 新しい牧場ができている（東 約45m）。牧野マオ#a4bが作った物のようだ
01:30:57 | 石川コウ#fe8 | シラカバ / 16個 / 採石場 | 新しい畑ができている（西 約24m）。牧野マオ#a4bが作った物のようだ
01:31:05 | 岸辺レン#85a | 岸辺の管理用ピック / 私的防備区域 / 悲鳴 | 新しい採石場ができている（東 約21m）
01:31:23 | 立花キリ#c2f | 石材置き場 / 山田セナ / 牧場 | 新しい採石場ができている（北東 約30m）
01:31:28 | 南田ネム#747 | 立花キリ / 岩瀬ヒナ / 南田の作業場 | 新しい牧場ができている（東 約44m）。岩瀬ヒナ#4edが作った物のようだ
01:31:57 | 望月シオ#fa4 | 看板 / 東の採石場 / 南田ネム | 新しい家ができている（西 約33m）。桜井ライ#d71が作った物のようだ
01:31:58 | 柏木サヤ#9e5 | 杉本モモ / 立花キリ / オークの原木 | 新しい家ができている（南西 約28m）。千葉ミオ#806が作った物のようだ
01:32:18 | 沼田ミネ#72d | 邸宅建築 / 杉本モモ / 黒木リオ | 新しい家ができている（南東 約33m）。桜井ライ#d71が作った物のようだ
01:32:18 | 小柳クウ#c4b | 鉄鉱石 / 西の採石場 / 水野ユウ | 新しい採石場ができている（北 約18m）
01:32:37 | 堀内サト#a0c | ボート / サトウキビ / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約959m）
01:32:39 | 北原エル#bc0 | 石のツルハシ / 採石場 / 悲鳴 | 新しい採石場ができている（北 約13m）
01:36:04 | 深沢ナオ#302 | 山田セナ#c51 / 資材管理規則 / 採石場 | 新しい牧場ができている（東 約31m）。山田セナ#c51が作った物のようだ
01:46:09 | 岩瀬ヒナ#4ed | 石 / 悲鳴 / 黒木リオ | 新しい採石場ができている（南西 約12m）
01:46:25 | 森野アオ#cdb | 白樺 / 共有チェスト / 悲鳴 | 新しい牧場ができている（北東 約9m）。黒木リオ#98bが作った物のようだ
01:46:35 | 梅木ボブ#f4a | 不審な物音 / 東の採石場 / 整理整頓 | 南西の遠くでかすかに争うような物音がした
01:46:48 | 西森マナ#e5d | 深沢ナオ#302 / 石のツルハシ / 南東の鶏 | 新しい家ができている（南 約32m）。岸辺レン#85aが作った物のようだ
01:47:01 | 東雲ノブ#af2 | 論理の石掘り / 悲鳴 / 北東エリア | 新しい採石場ができている（東 約13m）
01:47:09 | 浜田カナ#de9 | 深沢ナオ / 墓標 / 山田セナ | 新しい家ができている（南東 約36m）。望月シオ#fa4が作った物のようだ
01:47:27 | 北原エル#bc0 | 白樺 / 北東 / 悲鳴 | 川原ハク#f21が柏木サヤ#9e5にbirch_log×20を渡すのを見た
01:47:52 | 小柳クウ#c4b | 採石場 / 鉄 / 深沢ナオ | 新しい採石場ができている（北東 約12m）
01:47:54 | 岸辺レン#85a | 岸辺の断罪斧#85a / 北東の悲鳴 / 私の聖域 | 新しい畑ができている（南東 約45m）。望月シオ#fa4が作った物のようだ
01:48:28 | 山田セナ#c51 | 深沢ナオ#302 / 北西の伐採エリア / oak_log | 新しい家ができている（西 約20m）。黒木リオ#98bが作った物のようだ
01:48:30 | 千葉ミオ#806 | 建築技術 / 鶏を牧場へ誘導 / 効率的な作業 | 新しい畑ができている（東 約41m）。望月シオ#fa4が作った物のようだ
01:48:52 | 望月シオ#fa4 | 俺の城 / 尾崎ワカ / 東の採石場 | 新しい牧場ができている（北 約41m）。山田セナ#c51が作った物のようだ
01:48:57 | 柏木サヤ#9e5 | 南の森 / オークの原木 / たいまつ | 南の遠くでかすかに争うような物音がした
01:49:10 | 黒木リオ#98b | 採石場 / 看板 / 丸石 | 新しい採石場ができている（北東 約26m）
01:49:31 | 水野ユウ#a37 | 北の採石場 / 杉本モモ / 鉄の探索状況 | 新しい採石場ができている（東 約14m）
01:49:33 | 瀬川ノア#d3f | たいまつ / 深沢ナオ#302 / 牧場 | 東の遠くでかすかに争うような物音がした
01:50:00 | 尾崎ワカ#644 | 光源確保 / 一息の道しるべ / 悲鳴 | 新しい牧場ができている（南東 約30m）。望月シオ#fa4が作った物のようだ
01:50:12 | 沼田ミネ#72d | 真砂ホシ / 杉本モモの死んだ場所 / オークの原木 | 新しい牧場ができている（東 約26m）。黒木リオ#98bが作った物のようだ
01:50:26 | 南田ネム#747 | 岸辺レン#85a / 聖域 / 構造の確認 | 新しい牧場ができている（東 約15m）。黒木リオ#98bが作った物のようだ
01:50:32 | 堀内サト#a0c | ボート / 岸 / 家 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1193m）
01:50:43 | 石川コウ#fe8 | 山田セナ / 排除済み / 北西エリア | 最近山田セナ#c51を見かけていない
01:51:02 | 川原ハク#f21 | 採石場 / 共有チェスト / 悲鳴 | 新しい採石場ができている（南東 約22m）
01:51:10 | 真砂ホシ#7d9 | 建築計画の最適化 / 悲鳴 / 望月シオの牧場 | 新しい家ができている（東 約34m）
01:51:26 | 桜井ライ#d71 | 閃光切断斧・ライ / 南の未踏領域 / 新しい採石場 | 新しい採石場ができている（北東 約13m）
01:51:36 | 青木エマ#147 | 北東の採石場 / 深沢ナオ / 資材管理規則 | 新しい採石場ができている（北東 約11m）
01:51:51 | 上原オト#4d4 | 山田セナ / 北西採石場 / 建築計画管理責任者 | 山田セナ#c51が杉本モモ#1ebを攻撃するのを見た
01:52:05 | 立花キリ#c2f | 深沢ナオ / 資材整理 / 墓標 | 新しい家ができている（北 約32m）。牧野マオ#a4bが作った物のようだ
02:02:47 | 立花キリ#c2f | 瀬川ノア / 深沢ナオ / 看板 | 山田セナ#c51が深沢ナオ#302を攻撃するのを見た
02:06:08 | 梅木ボブ#f4a | 東の採石場 / 深沢ナオ / 祈りの場所 | 新しい採石場ができている（西 約25m）
02:06:10 | 岩瀬ヒナ#4ed | 梅木ボブ / 城 / 石のツルハシ | 新しい家ができている（東 約31m）。梅木ボブ#f4aが作った物のようだ
02:06:23 | 堀内サト#a0c | 拠点から約1195m / ボート / 岸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約836m）
02:06:41 | 西森マナ#e5d | 岸辺レン / 深沢ナオ / 採石場 | 最近岸辺レン#85aを見かけていない
02:06:46 | 浜田カナ#de9 | 立ち入り禁止 / 悲鳴 / 無益な存在 | 新しい採石場ができている（南西 約11m）
02:07:10 | 上原オト#4d4 | 北西拠点 / 石材 / 岸辺レン | 新しい家ができている（東 約32m）。瀬川ノア#d3fが作った物のようだ
02:07:11 | 北原エル#bc0 | 深沢ナオ / 採石場 / 南田ネム | 新しい畑ができている（南東 約38m）。森野アオ#cdbが作った物のようだ
02:07:37 | 小柳クウ#c4b | 西の採石場 / 鉄鉱石 / 管理区域 | 新しい採石場ができている（西 約20m）
02:07:41 | 岸辺レン#85a | 南田ネム / 北原エル / 私적防備区域 | 南田ネム#747が自分の家の中に入り込んでいた
02:08:09 | 千葉ミオ#806 | 南田ネム / 真砂ホシ / 千葉タクミ | 新しい畑ができている（南西 約27m）。森野アオ#cdbが作った物のようだ
02:08:12 | 柏木サヤ#9e5 | オークの原木 / 南の森 / 石の斧 | 新しい畑ができている（西 約17m）。森野アオ#cdbが作った物のようだ
02:08:24 | 黒木リオ#98b | 石 / 岸辺レン / 採石場 | 新しい採石場ができている（北西 約9m）
02:08:29 | 水野ユウ#a37 | 北の採石場 / 管理区域 / 悲鳴 | 新しい採石場ができている（西 約16m）
02:08:50 | 沼田ミネ#72d | 北西採石場 / 邸宅建築 / 真砂ホシ | 新しい採石場ができている（南東 約53m）
02:08:51 | 尾崎ワカ#644 | 壁 / 青木エマ#147 / 看板 | 新しい採石場ができている（北 約9m）
02:09:15 | 桜井ライ#d71 | シラカバ / 採石場 / ボート | 北原エル#bc0が森野アオ#cdbにbirch_log×13を渡すのを見た
02:09:25 | 石川コウ#fe8 | 深沢ナオ / 牧場 / 山田セナ | 新しい家ができている（南東 約47m）。深沢ナオ#302が作った物のようだ
02:09:45 | 千葉タクミ#442 | 原木 / 北西 / 川原ハク#f21 | 
02:10:04 | 山田セナ#c51 | 深沢ナオ / 瀬川ノア / 秩序 | 深沢ナオ#302が自分の家の中に入り込んでいた
02:10:16 | 望月シオ#fa4 | 真砂ホシ / 立花キリ / 城 | 新しい畑ができている（南東 約39m）。森野アオ#cdbが作った物のようだ
02:10:32 | 川原ハク#f21 | 灰石の断ち切り / 石川コウ / 沈黙の砕岩 | 新しい採石場ができている（南東 約3m）
02:10:58 | 青木エマ#147 | 山田セナ#c51 / 鉄鉱石 / 北東の採石場 | 新しい畑ができている（西 約46m）。森野アオ#cdbが作った物のようだ
02:11:00 | 真砂ホシ#7d9 | 立花キリ / 千葉タクミ / 千葉家管理区域 | 新しい畑ができている（北 約42m）。桜井ライ#d71が作った物のようだ
02:11:23 | 東雲ノブ#af2 | 岸辺レン#85a / 南田ネム#747 / 石のツルハシ | 新しい畑ができている（南東 約15m）。森野アオ#cdbが作った物のようだ
02:11:34 | 森野アオ#cdb | cobblestone / 共有チェスト / 未踏の地表 | 新しい採石場ができている（北東 約11m）
02:15:04 | 柏木サヤ#9e5 | オークの原木 / 石川コウ / 南の森 | 新しい牧場ができている（南東 約33m）。石川コウ#fe8が作った物のようだ
02:20:02 | 桜井ライ#d71 | ボート / たいまつ / (-2405,-319) | 新しい家ができている（北東 約32m）。梅木ボブ#f4aが作った物のようだ
02:22:53 | 北原エル#bc0 | 資材の整理整頓 / 岸辺レン / 悲鳴 | 新しい採石場ができている（北東 約9m）
02:26:12 | 梅木ボブ#f4a | 立花キリ / 墓標 / 争う音 | 真砂ホシ#7d9が立花キリ#c2fを攻撃するのを見た
02:26:21 | 堀内サト#a0c | ボート / 家 / 原木 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1171m）
02:26:22 | 西森マナ#e5d | 立花キリ / オークの原木 / 北西の聖域 | 新しい牧場ができている（北 約22m）。石川コウ#fe8が作った物のようだ
02:26:50 | 上原オト#4d4 | 石材 / 光源確保 / 進捗率8割 | 新しい採石場ができている（東 約36m）
02:26:57 | 東雲ノブ#af2 | 採石場 / 立花キリ / 北西拠点 | 新しい採石場ができている（南東 約18m）
02:27:20 | 青木エマ#147 | 採石場 / 備蓄 / 墓標 | 新しい採石場ができている（北東 約2m）
02:27:28 | 小柳クウ#c4b | 岩瀬ヒナ / 西の採石場 / 鶏 | 岩瀬ヒナ#4edが自分の家の中に入り込んでいた
02:27:58 | 真砂ホシ#7d9 | 立花キリ / 墓標 / 悲鳴 | 立花キリ#c2fが自分の家の中に入り込んでいた
02:28:22 | 水野ユウ#a37 | cobblestone172 / 千葉家管理区域 / 浜田カナ | 新しい採石場ができている（北東 約50m）
02:28:24 | 千葉ミオ#806 | 拠点 / cobblestone / 悲鳴 | 息子が生まれた
02:28:50 | 尾崎ワカ#644 | 南田ネム / 看板 / 鶏 | 最近南田ネム#747を見かけていない
02:29:00 | 川原ハク#f21 | 灰石の断ち切り / 立花キリ / 北西採石場 | 新しい採石場ができている（北東 約20m）
02:29:22 | 石川コウ#fe8 | 柏木サヤ / 採石場 / 南西の畑 | 山田セナ#c51が瀬川ノア#d3fを攻撃するのを見た
02:29:37 | 沼田ミネ#72d | 建築主任 / 秩序 / 立花キリの鎮魂 | 新しい家ができている（北東 約35m）
02:29:45 | 黒木リオ#98b | 採石場 / 南田ネム / 看板 | 新しい採石場ができている（南 約13m）
02:30:00 | 森野アオ#cdb | 立花キリ / 北西採石場 / 原木 | 東の方で争う音がした
02:30:20 | 山田セナ#c51 | 瀬川ノア / 鶏 / 牧場 | 最近深沢ナオ#302を見かけていない
02:30:22 | 浜田カナ#de9 | 牧場 / 千葉タクミ / 石 | 新しい牧場ができている（東 約27m）。石川コウ#fe8が作った物のようだ
02:30:57 | 千葉タクミ#442 | 千葉家管理区域 / 石材 / 北原エル | 新しい畑ができている（南東 約36m）。望月シオ#fa4が作った物のようだ
02:31:00 | 望月シオ#fa4 | 立花キリ / 鶏 / 採石場 | 真砂ホシ#7d9が立花キリ#c2fを攻撃するのを見た
02:31:39 | 岸辺レン#85a | 岸辺の断罪斧 / 北原エル / 秩序 | 南東の遠くからかすかに悲鳴のような声が聞こえた
02:45:57 | 堀内サト#a0c | ボート / 海 / 岸 | 遠くまで来た。この辺りには家が見当たらない（拠点から約1040m）
02:46:25 | 西森マナ#e5d | 北西の森林帯 / 原木 / 立花キリ | 新しい畑ができている（南西 約10m）。石川コウ#fe8が作った物のようだ
02:46:29 | 東雲ノブ#af2 | 瀬川ノア / 採石場 / 湧き潰し | 小柳クウ#c4bが岩瀬ヒナ#4edを攻撃するのを見た
02:46:52 | 小柳クウ#c4b | 鶏 / 管理水準 / 採石場 | 新しい牧場ができている（北西 約18m）。浜田カナ#de9が作った物のようだ
02:46:57 | 青木エマ#147 | 石 / 千葉タクミ / ボート | 新しい畑ができている（北 約38m）。石川コウ#fe8が作った物のようだ
02:47:20 | 川原ハク#f21 | 看板 / 石 / 岸辺レン | 新しい牧場ができている（南東 約30m）。尾崎ワカ#644が作った物のようだ
02:47:27 | 黒木リオ#98b | 松明 / 小麦 / 北西の牧場 | 新しい畑ができている（西 約42m）。沼田ミネ#72dが作った物のようだ
02:47:43 | 尾崎ワカ#644 | 聖域：居住区 / charcoal / 石川コウ#fe8 | 新しい牧場ができている（北 約16m）。尾崎ワカ#644が作った物のようだ
02:47:53 | 沼田ミネ#72d | 邸宅 / オークの原木 / 北西採石場 | 新しい家ができている（東 約41m）。東雲ノブ#af2が作った物のようだ
02:48:05 | 石川コウ#fe8 | 小柳クウ / 南西の畑 / 採石場 | 新しい畑ができている（西 約1m）。石川コウ#fe8が作った物のようだ
02:48:20 | 千葉タクミ#442 | 石の斧 / 千葉家管理区域 / 樺の原木 | 新しい採石場ができている（南東 約33m）
02:48:36 | 真砂ホシ#7d9 | 千葉家管理区域 / 立花キリ / 北西採石場 | 新しい牧場ができている（南東 約29m）。尾崎ワカ#644が作った物のようだ
02:48:41 | 水野ユウ#a37 | オークの板材 / 採石場 / 瀬川ノア | 新しい牧場ができている（東 約41m）。尾崎ワカ#644が作った物のようだ
02:48:58 | 浜田カナ#de9 | 瀬川ノア / 立ち入り無用 / 非効率 | 最近瀬川ノア#d3fを見かけていない
02:49:08 | 山田セナ#c51 | 瀬川ノア / 鶏の誘導 / 採石場 | 最近瀬川ノア#d3fを見かけていない
02:49:29 | 上原オト#4d4 | 立花キリ / 北西拠点 / 豚肉 | 最近桜井ライ#d71を見かけていない
02:49:33 | 望月シオ#fa4 | 立花キリ / 原木 / 採石場 | 真砂ホシ#7d9が立花キリ#c2fを攻撃するのを見た
02:50:00 | 岸辺レン#85a | 私有地 / 南田ネム / オークの原木 | 新しい畑ができている（北東 約35m）。沼田ミネ#72dが作った物のようだ
02:50:18 | 千葉ミオ#806 | 原木 / 北東の採石場 / 千葉家管理区域 | 新しい家ができている（東 約39m）。青木エマ#147が作った物のようだ
02:50:38 | 梅木ボブ#f4a | 聖域：居住区 / 安らぎを削る斧 / 静寂を共に | 新しい畑ができている（北西 約39m）。石川コウ#fe8が作った物のようだ
02:50:44 | 森野アオ#cdb | 立花キリ / 銅鉱石 / 採石場 | 新しい牧場ができている（東 約37m）。尾崎ワカ#644が作った物のようだ
03:06:13 | 西森マナ#e5d | 北西の森林帯 / 立花キリ / 資材整理箱 | 新しい採石場ができている（北 約15m）
03:06:22 | 森野アオ#cdb | 鉄鉱石 / 沼田ミネ / 採石場 | 新しい採石場ができている（東 約29m）
03:06:44 | 東雲ノブ#af2 | 採石場 / 看板 / 追悼 | 新しい採石場ができている（北 約13m）
03:06:46 | 浜田カナ#de9 | 石 / 看板 / 樫の原木 | 新しい採石場ができている（南東 約20m）
03:07:07 | 岸辺レン#85a | 南田ネム / 聖域 / 私有地 | 最近南田ネム#747を見かけていない
03:07:24 | 上原オト#4d4 | 北東採石場 / 石材 / 建築ノルマ | 新しい採石場ができている（南東 約21m）
03:07:30 | 真砂ホシ#7d9 | ボート / 岸 / 家 | 最近梅木ボブ#f4aを見かけていない
03:07:37 | 山田セナ#c51 | 立花キリ / 梅木ボブ / 小麦の種 | 最近立花キリ#c2fを見かけていない
03:07:47 | 黒木リオ#98b | 採石場 / cobblestone / 立花キリ | 新しい採石場ができている（北 約6m）
03:08:04 | 沼田ミネ#72d | 邸宅 / 採石場 / オークの原木 | 新しい牧場ができている（南 約6m）。川原ハク#f21が作った物のようだ
03:08:07 | 尾崎ワカ#644 | 看板 / 夜風 / 採石場 | 新しい採石場ができている（北西 約61m）
03:08:23 | 望月シオ#fa4 | 新しい牧場 / 看板 / boat_travel | 新しい牧場ができている（南東 約31m）。尾崎ワカ#644が作った物のようだ
03:08:31 | 千葉タクミ#442 | 【千葉家管理区域】 / 採石場 / 効率 | 新しい牧場ができている（南 約26m）。望月シオ#fa4が作った物のようだ
03:08:47 | 千葉ミオ#806 | 北東採石場 / 無秩序な掘削 / ボート | 新しい採石場ができている（北東 約1m）
03:08:52 | 水野ユウ#a37 | 千葉ミオ / 北西採石場 / 拠点 | 最近尾崎ワカ#644を見かけていない
03:09:07 | 堀内サト#a0c | 新しい採石場 / ボート / 家が見当たらない | 遠くまで来た。この辺りには家が見当たらない（拠点から約1182m）
03:09:14 | 青木エマ#147 | 備蓄の最適化 / 北の森 / 山田セナ | 新しい採石場ができている（南東 約2m）
03:09:31 | 梅木ボブ#f4a | 瀬川ノア / 聖域：居住区 / 鶏肉 | 最近瀬川ノア#d3fを見かけていない
03:09:35 | 石川コウ#fe8 | 立花キリ / 鉄鉱石 / 採石場 | 最近立花キリ#c2fを見かけていない
03:10:00 | 川原ハク#f21 | 丸石 / 北西拠点 / 牧場 | 新しい採石場ができている（南東 約10m）
03:10:05 | 小柳クウ#c4b | 千葉タクミ / 管理区域 / 採石場 | 新しい畑ができている（東 約46m）。尾崎ワカ#644が作った物のようだ
